"AnswerId","QuestionId","ResponseCode","ResponseLabel","ResponseLabelEnglish","Scale_Type","RawNumber","Answer_Category"
"30240006","UM24","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"30250001","UM25","1","1 Stimme überhaupt nicht zu","1 Strongly disagree","Nominal","1","very_negative"
"30250002","UM25","2","2","2 2","Nominal","2","negative"
"30250003","UM25","3","3","3 3","Nominal","3","neutral"
"30250004","UM25","4","4","4 4","Nominal","4","positive"
"30250005","UM25","5","5 Stimme sehr zu","5 Strongly agree","Nominal","5","very_positive"
"30250006","UM25","-9","nicht beantwortet","not answered","NullAnswer","-9","Empty"
"10070101","M007_01","TEXT","Textual response","Textual response","Textual","","textual"
"10070102","M007_01","null","No recorded response","No recorded response","NullAnswer","","Empty"
"10080101","M008_01","TEXT","Textual response","Textual response","Textual","","textual"
"10080102","M008_01","null","No recorded response","No recorded response","NullAnswer","","Empty"
"30260101","UM26_01","TEXT","Textual response","Textual response","Textual","","textual"
"30260102","UM26_01","null","No recorded response","No recorded response","NullAnswer","","Empty"
